city,density,pop
Славянск-на-Кубани,1523.79,63842
Новокубанск,1261.6,34880
Крымск,1216.6,57382
Лабинск,1296.36,64394
Белореченск,1353.48,60639
Гулькевичи,1642.8,35244
Горячий Ключ,1804.29,57289
Майкоп,2421.87,166540
Адыгейск,1012.57,14659
Нальчик,3571.64,266033
Нарткала,3249.1,31694
Прохладный,1649.29,59601
Тырныауз,337.15,21000
Владикавказ,1050.23,330148
Моздок,2384.46,38768
Алагир,748.99,20949
Беслан,1598.14,36728
Дигора,1096.3,10856
Назрань,1474.2,93335
Магас,694.46,2502
Урус-Мартан,2179.35,49070
Грозный,916.64,271573
Гудермес,575.09,45631
Самара,2148.61,1164814
Сызрань,1480.85,179558
Похвистнево,437.57,29261
Новокуйбышевск,1196.9,110729
Чапаевск,389.06,72705
Отрадный,4754.2,48356
Кинель,961.12,54890
Тольятти,2257.34,719632
Жигулевск,893.8,60303
Ульяновск,1006.49,637564
Волгоград,1179.41,1021215
Суровикино,566.92,20533
Фролово,622.95,39449
Камышин,1379.94,119565
Волжский,2173.7,327089
Саратов,2144.31,837900
Калининск,659.21,16441
Балаково,2402.9,200981
Ртищево,1218.91,41289
Аркадак,755.5,12845
Аткарск,2385.2,25624
Бугуруслан,652.43,50226
Абдулино,408.98,20173
Соль-Илецк,146.73,28377
Оренбург,646.19,563876
Сорочинск,499.05,29249
Кувандык,573.73,26169
Медногорск,280.41,29120
Орск,370.84,244004
Новотроицк,250.37,105367
Пенза,1803.01,517311
Сердобск,1129.03,35393
Кузнецк,1955.23,88839
Астрахань,2558.46,520339
Ахтубинск,2228.41,41923
Сыктывкар,1612.39,250874
Сосногорск,1067.11,46775
Воркута,1955.36,95854
Калининград,2114.18,431902
Балтийск,675.78,32697
Мамоново,386.38,7957
Мурманск,1913.04,307257
Кандалакша,4711,49544
Оленегорск,43.74,30021
Апатиты,1485.68,59674
Петрозаводск,2068.07,261987
Великий Новгород,2474.11,218717
Боровичи,1104.25,53690
Старая Русса,1565.21,31809
Сольцы,886.21,10086
Псков,2197.87,203279
Печоры,470.56,11195
Великие Луки,1507.14,98778
Архангельск,1187.9,355781
Вельск,859.47,23885
Каргополь,773.46,10214
Котлас,773.4,73517
Коряжма,1673.07,39641
Северодвинск,1535.45,193607
Вологда,3433.19,309290
Тотьма,217.95,9785
Череповец,2632.52,312310
Вытегра,639.5,10488
Санкт-Петербург,3837.47,4879566
Выборг,481.2,79962
Светогорск,313.81,15981
Приозерск,1124.36,18933
Пикалево,531.13,21562
Шлиссельбург,897.32,13170
Бокситогорск,1183.08,16585
Кириши,803.36,52309
Гатчина,3285.11,93186
Тихвин,2288.82,58459
Ивангород,1357.53,9865
Салехард,582.41,42845
Югорск,245.83,34067
Ханты-Мансийск,291.58,80151
Урай,2689.5,39457
Тюмень,1634.39,604816
Ишим,1413.06,65243
Заводоуковск,813.59,25647
Ялуторовск,769.93,36493
Тобольск,445.94,103583
Нефтеюганск,824.66,122855
Сургут,1034.52,306675
Нижневартовск,1015.15,251694
Лангепас,741.19,41670
Покачи,818.41,17171
Мегион,944.76,56382
Лянтор,639.24,38992
Когалым,432.4,58337
Пыть-Ях,501.17,41488
Ноябрьск,2753.09,110620
Надым,241.41,46611
Омск,2067.51,1154116
Исилькуль,593.62,24482
Биробиджан,434.66,75413
Петропавловск-Камчатский,500.4,179780
Вилючинск,64.39,22905
Южно-Сахалинск,1208.39,189010
Северо-Курильск,16.17,2536
Холмск,950,30937
Невельск,1157.89,11682
Владивосток,1826.61,616807
Уссурийск,994.32,184046
Находка,458.17,160760
Партизанск,28.76,46748
Дальнереченск,238.76,30780
Большой Камень,340.25,40535
Тында,266.62,36275
